,Полный индекс дисциплины,Дисциплина,Направленность,Квалификация,Форма обучения,Год набора,Семестр,Реализуется после,Competence_TFIDF,Training_Outcomes_TFIDF,Topics_TFIDF
0,ФТД.06 «Современный менеджмент»,«Современный менеджмент»,«Государственная и муниципальная служба»,бакалавр,очная,2023,1,[],0.41892733846497715,0.4329653319376582,0.519099552019794
1,Б1.В.12 «Трудовое право»,«Трудовое право»,«Эффективное государственное управление. Образовательная программа на иностранном языке»,бакалавр,очная,2022,6,[],0.5017782359532834,0.3963695658508373,0.5952378635396087
2,Б1.В.08 «Нормография: теория и технология нормотворчества»,«Нормография: теория и технология нормотворчества»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2022,8,['Основы кибернетики'],0.5172773016175362,0.7228255226956701,0.6216397163930154
3,Б1.О.08 «Высшая математика»,«Высшая математика»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,"1, 2",[],0.5614635969521139,0.5385665225397768,0.6738477416684804
4,Б1.В.09.09 «Прогнозирование и моделирование развития экосистем»,«Прогнозирование и моделирование развития экосистем»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.3468177867281043,0.3485779107439841,0.29402386118205504
5,Б1.О.09 «Информационные технологии в управлении (Экономическая информатика)»,«Информационные технологии в управлении (Экономическая информатика)»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2023,"1, 2",[],0.49255881143071234,0.7730733954124787,0.5134389938237931
6,Б1.В.20.ДВ.03.0 «Механизмы реализации государственной кадровой политики»,«Механизмы реализации государственной кадровой политики»,«Государственная и муниципальная служба»,бакалавр,очная,2022,7,[],0.36102353342235555,0.47869731827384127,0.2766688991336986
7,Б1.О.24 «Административное право (European Competition Law)»,«Административное право (European Competition Law)»,«Цифровое государство (российско-французская программа с углубленным изучением иностранного языка)»,бакалавр,очная,2023,5,['Конституционное право'],0.34480143397359914,0.526485156890629,0.5966530066598971
8,Б1.В.18.ДВ.04.0 «Управление социальными конфликтами»,«Управление социальными конфликтами»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,8,[],0.3519554198263914,0.5784040125984848,0.4778278548144063
9,ФТД.ДВ.01.02 «Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Социальная интеграция и трудовое самоопределение лиц с ограниченными возможностями здоровья»,«Цифровое государство»,бакалавр,очная,2023,1,[],0.5172773016175362,0.6444817071339878,0.49093929863804076
10,Б1.О.15 «Прогнозирование и планирование»,«Прогнозирование и планирование»,«Управление экосистемами (с углубленным изучением иностранного языка)»,бакалавр,очная,2023,7,[],0.5026460123878481,0.5953217834629484,0.5029614604843932
11,ФТД.ДВ.01.01 «Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Выработка и развитие навыков социализации в студенческой среде образовательной организации лиц с ограниченными возможностями здоровья»,«Экономика и управление (с углубленным изучением иностранного языка и экономических дисциплин)»,бакалавр,очная,2023,1,[],0.5249068504461889,0.6421593703881033,0.5340095542179691
12,Б1.В.14 «Правоведение»,«Правоведение»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2023,3,[],0.3220169632850756,0.39308635540090986,0.40462186946076084
13,К.М.11.05 «Управление рисками программ устойчивого развития»,«Управление рисками программ устойчивого развития»,«Государственное управление устойчивым развитием»,бакалавр,очная,2022,7,[],0.395938788026372,0.5070449375561891,0.5257184744753336
14,Б1.В.06 «Управление государственными и муниципальными финансами»,«Управление государственными и муниципальными финансами»,«Государственная и муниципальная служба»,бакалавр,очная,2023,5,[],0.37003606185626237,0.44892221308365354,0.549489179489137
15,Б1.О.26 «Конституционное право»,«Конституционное право»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,3,[],0.34480143397359914,0.4890140375268003,0.6256247398734579
16,Б1.О.25 «Противодействие коррупции»,«Противодействие коррупции»,«Управление территориальным развитием (многопрофильный бакалавриат)»,бакалавр,очная,2022,4,[],0.6175254967082802,0.5728566184362178,0.5537953320396602
17,Б1.В.10.ДВ.01.0 «Гражданский процесс»,«Гражданский процесс»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,6,[],0.42364174854497133,0.44397721957593667,0.6227314801924982
18,Б1.В.17.01 «Управление проектами и программами»,«Управление проектами и программами»,«Эффективное государственное управление»,бакалавр,очная,2022,6,[],0.26413728942603454,0.4575744847996805,0.33852273027474544
19,Б1.О.03 «Психология»,«Психология»,«Государственная и муниципальная служба»,бакалавр,очно-заочная,2022,2,"['Русский язык и культура речи', 'Введение в профессиональную деятельность']",0.5642480887386508,0.6804618166897851,0.32687429475832963
20,Б1.О.04 «Политология»,«Политология»,«Внутренняя политика и лидерство»,бакалавр,очная,2022,6,"['Государственная гражданская и муниципальная служба в Российской Федерации', 'Документационное обеспечение и делопроизводство в государственном и муниципальном управлении']",0.40916693126914067,0.43248979976931967,0.611972003211297
21,Б1.В.17.ДВ.03.0 «Управление рисками»,«Управление рисками»,«Эффективное государственное управление»,бакалавр,очно-заочная,2023,5,[],0.5173158984344369,0.34740271527090505,0.40007635560486804
22,Б1.В.ДВ.05.01 «Оценка эффективности органов власти и служащих»,«Оценка эффективности органов власти и служащих»,«Эффективное государственное управление»,бакалавр,очная,2022,8,[],0.3936366739940085,0.3204076659049479,0.3746784754237286
23,К.М.08.03 «Статистика»,«Статистика»,«Государственное управление устойчивым развитием»,бакалавр,очная,2023,4,[],0.2771747892850125,0.27904910379642567,0.6301131408656888
24,Б1.О.03 «Психология»,«Психология»,«Политика и право (с углубленным изучением иностранных языков)»,бакалавр,очная,2022,2,[],0.5642480887386508,0.6941952105498079,0.36491683239790007
